epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,8418.59,0.6403,2.86817,0.25285,0.39637,1.08196,0.97572,0.97976,0.99134,0.90576,0.86533,0.83811,0.8555,0.72142,0.52616,1.84141,0.04727,0.25873,0.96259,0.004852,0.004852,0.004852
54,8715.97,0.64266,2.85882,0.25391,0.39508,1.0807,0.97574,0.98002,0.99136,0.90593,0.86558,0.8379,0.85535,0.7216,0.52485,1.83871,0.04694,0.25782,0.96162,0.004753,0.004753,0.004753
55,9057.48,0.63504,2.8136,0.25077,0.39495,1.07665,0.97566,0.98002,0.9913,0.90584,0.86601,0.83824,0.85484,0.72159,0.52443,1.83669,0.04667,0.25747,0.96139,0.004654,0.004654,0.004654
56,9359.6,0.63063,2.7892,0.24999,0.3898,1.07606,0.97554,0.98028,0.99127,0.90615,0.86567,0.83824,0.85478,0.7218,0.52379,1.83299,0.04642,0.25693,0.96104,0.004555,0.004555,0.004555
57,9588.19,0.63583,2.7829,0.2481,0.38998,1.07747,0.97649,0.98053,0.99124,0.90659,0.867,0.83914,0.85579,0.72325,0.52308,1.8311,0.04618,0.25652,0.96053,0.004456,0.004456,0.004456
58,9893.55,0.63165,2.7447,0.24699,0.39303,1.07695,0.97576,0.98066,0.99128,0.90696,0.86823,0.83876,0.85624,0.7241,0.5223,1.82596,0.0459,0.25615,0.96013,0.004357,0.004357,0.004357
59,10169.8,0.62927,2.77422,0.24581,0.38883,1.0736,0.97518,0.9813,0.99124,0.90733,0.86812,0.83965,0.85663,0.72498,0.5216,1.8222,0.04573,0.25546,0.95973,0.004258,0.004258,0.004258
60,10460.6,0.6311,2.75604,0.24523,0.38601,1.07505,0.97514,0.98169,0.99131,0.90755,0.86821,0.83888,0.85639,0.72531,0.52109,1.81998,0.0457,0.25506,0.9594,0.004159,0.004159,0.004159
61,10758.8,0.62925,2.72964,0.24465,0.38685,1.07411,0.97515,0.98156,0.99131,0.90808,0.86919,0.8391,0.85721,0.72618,0.52055,1.81709,0.04569,0.25434,0.95918,0.00406,0.00406,0.00406
62,11082.1,0.62303,2.68969,0.24444,0.38395,1.07083,0.97535,0.9813,0.99124,0.90795,0.86894,0.83952,0.85728,0.72697,0.5201,1.81443,0.04555,0.25358,0.95886,0.003961,0.003961,0.003961
63,11396.3,0.62092,2.68098,0.2425,0.38347,1.06941,0.97519,0.98156,0.99125,0.90823,0.87006,0.84045,0.85764,0.72736,0.5194,1.8122,0.0454,0.25324,0.95845,0.003862,0.003862,0.003862
64,11713.1,0.62058,2.66098,0.24413,0.37871,1.0701,0.97544,0.98165,0.99123,0.90809,0.87039,0.84042,0.85778,0.72806,0.51893,1.80781,0.04528,0.25291,0.95813,0.003763,0.003763,0.003763
65,11989.2,0.616,2.63123,0.24049,0.37666,1.06769,0.97492,0.98194,0.99125,0.90789,0.87105,0.84178,0.85909,0.72792,0.51847,1.80409,0.04519,0.2524,0.95786,0.003664,0.003664,0.003664
66,12238,0.61607,2.63695,0.2391,0.38069,1.06694,0.97495,0.98209,0.99126,0.908,0.87106,0.84359,0.86222,0.7293,0.51777,1.79958,0.04511,0.25226,0.95738,0.003565,0.003565,0.003565
67,12485.8,0.61632,2.62224,0.23918,0.37992,1.06892,0.9752,0.98209,0.99127,0.90824,0.87127,0.84452,0.86259,0.73017,0.51741,1.79613,0.04506,0.25179,0.95713,0.003466,0.003466,0.003466
68,12753.1,0.60904,2.59636,0.23801,0.37123,1.06565,0.97545,0.98213,0.99129,0.90833,0.87207,0.84511,0.86305,0.73038,0.51684,1.79273,0.04504,0.25158,0.95672,0.003367,0.003367,0.003367
69,13037.8,0.60717,2.58664,0.24002,0.37206,1.06483,0.97582,0.98219,0.9913,0.90851,0.87137,0.84439,0.86268,0.73154,0.51613,1.79082,0.04494,0.25123,0.95625,0.003268,0.003268,0.003268
70,13283.4,0.59849,2.51897,0.23543,0.3641,1.05772,0.97558,0.9822,0.99133,0.90855,0.8717,0.84375,0.86249,0.73244,0.51579,1.78822,0.04483,0.25092,0.956,0.003169,0.003169,0.003169
71,13521.1,0.60289,2.54364,0.23679,0.36813,1.06328,0.97582,0.9822,0.99136,0.90925,0.87174,0.84452,0.86272,0.7328,0.51517,1.78535,0.04473,0.25047,0.95555,0.00307,0.00307,0.00307
72,13742.8,0.59833,2.51754,0.23443,0.36728,1.05849,0.97606,0.98167,0.99134,0.90939,0.87163,0.84452,0.86274,0.73339,0.51429,1.78268,0.04463,0.24995,0.95492,0.002971,0.002971,0.002971
73,14001.5,0.60016,2.49828,0.23127,0.36555,1.06139,0.97608,0.98245,0.99136,0.90978,0.87231,0.84541,0.8634,0.73367,0.51356,1.77994,0.04456,0.24962,0.9544,0.002872,0.002872,0.002872
74,14232.2,0.59863,2.46959,0.2314,0.36391,1.05788,0.97607,0.98219,0.99142,0.90997,0.87224,0.84567,0.86365,0.73413,0.51287,1.7764,0.04443,0.24953,0.95386,0.002773,0.002773,0.002773
75,14431.7,0.59947,2.48317,0.23031,0.36504,1.05765,0.9761,0.98181,0.99149,0.91017,0.87125,0.8458,0.86367,0.73464,0.51216,1.77271,0.04425,0.24922,0.95327,0.002674,0.002674,0.002674
76,14695.5,0.59662,2.43848,0.23014,0.36167,1.05528,0.9757,0.98218,0.99146,0.91037,0.87135,0.84577,0.86376,0.73517,0.51157,1.7688,0.04414,0.24887,0.95279,0.002575,0.002575,0.002575
77,14856,0.59129,2.44247,0.22884,0.35948,1.05517,0.9757,0.98229,0.99149,0.9105,0.87154,0.8463,0.86429,0.73568,0.51086,1.76632,0.04402,0.24861,0.95225,0.002476,0.002476,0.002476
78,15014.7,0.59132,2.41719,0.22837,0.35894,1.05496,0.97583,0.98257,0.9915,0.91072,0.87149,0.84682,0.86455,0.73633,0.51025,1.76259,0.04397,0.24805,0.95178,0.002377,0.002377,0.002377
79,15149.2,0.58382,2.38928,0.22753,0.35416,1.05141,0.97596,0.98257,0.99146,0.91103,0.8718,0.84734,0.86513,0.73681,0.5096,1.75874,0.04391,0.24751,0.95125,0.002278,0.002278,0.002278
80,15273.7,0.58093,2.35651,0.22681,0.35323,1.04917,0.97621,0.9827,0.99152,0.91117,0.87198,0.84785,0.86565,0.73709,0.50904,1.75602,0.04391,0.24716,0.95078,0.002179,0.002179,0.002179
81,15402.1,0.58352,2.40097,0.2253,0.35325,1.04898,0.97618,0.98233,0.99149,0.91115,0.87358,0.8481,0.86622,0.73728,0.50867,1.75239,0.04381,0.24678,0.95047,0.00208,0.00208,0.00208
82,15542.4,0.57678,2.33857,0.22411,0.35113,1.04783,0.97642,0.98233,0.9915,0.91121,0.87534,0.84629,0.86629,0.73751,0.50805,1.74839,0.04383,0.24639,0.95,0.001981,0.001981,0.001981
83,15669.9,0.57682,2.32968,0.22454,0.35072,1.04939,0.97637,0.98245,0.99148,0.91136,0.87454,0.84722,0.86648,0.73827,0.5073,1.74619,0.04382,0.24604,0.94939,0.001882,0.001882,0.001882
84,15798.6,0.57805,2.34271,0.22267,0.34842,1.04922,0.97702,0.98233,0.99154,0.91165,0.87471,0.84767,0.86671,0.73918,0.50668,1.74284,0.04379,0.2458,0.94899,0.001783,0.001783,0.001783
85,15953.3,0.56819,2.30273,0.22411,0.34216,1.04257,0.9772,0.98236,0.99153,0.91188,0.87502,0.84887,0.86745,0.73962,0.50597,1.74007,0.04377,0.24553,0.94843,0.001684,0.001684,0.001684
86,16089.7,0.57507,2.28673,0.22104,0.34675,1.04818,0.97706,0.98258,0.99156,0.91205,0.87347,0.85052,0.86779,0.74099,0.50536,1.73642,0.04374,0.24517,0.94799,0.001585,0.001585,0.001585
